symbol,socialScore,governanceScore,environmentScore,totalEsg,esgPerformance,percentile,peerGroup,highestControversy
A,6.23,3.93,1.19,11.36,LAG_PERF,,Pharmaceuticals,2.0
AAPL,7.52,8.72,0.55,16.79,LAG_PERF,,Technology Hardware,3.0
ABBV,15.7,8.62,1.78,26.1,AVG_PERF,,Pharmaceuticals,2.0
ABNB,13.81,8.63,1.3,23.75,AVG_PERF,,Software & Services,2.0
ABT,13.84,6.56,1.81,22.21,AVG_PERF,,Healthcare,3.0
ACGL,9.92,8.78,1.57,20.27,AVG_PERF,,Insurance,2.0
ACN,6.81,3.05,2.06,11.91,LAG_PERF,,Software & Services,1.0
ADBE,7.23,5.14,1.69,14.06,LAG_PERF,,Software & Services,2.0
ADI,6.21,5.46,6.47,18.14,LAG_PERF,,Semiconductors,1.0
ADM,10.38,3.86,17.02,31.26,LEAD_PERF,,Food Products,3.0
ADP,7.37,3.74,4.01,15.12,LAG_PERF,,Software & Services,1.0
ADSK,8.09,3.72,3.34,15.14,LAG_PERF,,Software & Services,0.0
AEE,9.12,4.93,12.18,26.23,AVG_PERF,,Utilities,2.0
AEP,7.76,3.9,10.43,22.09,AVG_PERF,,Utilities,2.0
AES,9.79,3.25,12.0,25.04,AVG_PERF,,Utilities,2.0
AFL,8.32,8.97,1.29,18.58,LAG_PERF,,Insurance,1.0
AIG,11.0,10.64,1.95,23.6,AVG_PERF,,Insurance,2.0
AIZ,10.8,11.03,1.64,23.48,AVG_PERF,,Insurance,1.0
AJG,10.9,9.14,0.22,20.26,AVG_PERF,,Insurance,2.0
AKAM,6.83,3.74,2.74,13.31,LAG_PERF,,Software & Services,1.0
ALB,3.79,4.49,11.83,20.11,AVG_PERF,,Chemicals,2.0
ALGN,9.37,6.53,2.69,18.58,LAG_PERF,,Healthcare,1.0
ALL,10.68,9.48,1.12,21.29,AVG_PERF,,Insurance,2.0
ALLE,5.91,3.08,10.84,19.83,LAG_PERF,,Building Products,0.0
AMAT,3.09,4.67,3.8,11.56,LAG_PERF,,Semiconductors,2.0
AMCR,0.95,2.54,11.21,14.69,LAG_PERF,,Containers & Packaging,1.0
AMD,5.47,4.89,3.29,13.65,LAG_PERF,,Semiconductors,1.0
AME,8.63,5.37,7.13,21.13,AVG_PERF,,Electrical Equipment,0.0
AMGN,14.88,6.05,1.83,22.76,AVG_PERF,,Pharmaceuticals,3.0
AMP,7.58,9.39,1.75,18.71,LAG_PERF,,Diversified Financials,2.0
AMT,3.93,4.47,4.22,12.62,LAG_PERF,,Real Estate,1.0
AMZN,14.83,7.86,6.32,29.01,AVG_PERF,,Retailing,3.0
ANET,8.02,5.1,0.58,13.71,LAG_PERF,,Technology Hardware,1.0
ANSS,7.33,3.56,3.61,14.5,LAG_PERF,,Software & Services,0.0
AON,5.63,9.59,0.07,15.29,LAG_PERF,,Insurance,1.0
AOS,13.55,6.61,6.65,26.82,AVG_PERF,,Machinery,1.0
APA,8.26,7.12,27.69,43.08,LEAD_PERF,,Oil & Gas Producers,2.0
APD,3.44,2.94,8.45,14.83,LAG_PERF,,Chemicals,1.0
APH,4.77,4.9,8.21,17.89,LAG_PERF,,Technology Hardware,2.0
APTV,4.56,3.97,4.35,12.89,LAG_PERF,,Auto Components,1.0
ARE,3.69,6.59,2.85,13.14,LAG_PERF,,Real Estate,0.0
ATO,13.21,4.31,13.71,31.23,LEAD_PERF,,Utilities,2.0
AVB,2.4,3.47,2.23,8.09,LAG_PERF,,Real Estate,1.0
AVGO,6.86,4.21,8.12,19.2,LAG_PERF,,Semiconductors,2.0
AVY,1.01,3.39,10.99,15.39,LAG_PERF,,Containers & Packaging,1.0
AWK,6.69,3.63,8.75,19.07,LAG_PERF,,Utilities,1.0
AXON,20.09,8.03,2.38,30.49,LEAD_PERF,,Aerospace & Defense,1.0
AXP,9.7,8.45,0.13,18.28,LAG_PERF,,Diversified Financials,2.0
AZO,7.21,3.6,0.16,10.98,LAG_PERF,,Retailing,2.0
BA,22.18,6.47,7.9,36.55,LEAD_PERF,,Aerospace & Defense,4.0
BAC,13.65,8.83,1.88,24.36,AVG_PERF,,Banks,3.0
BALL,0.82,2.01,7.48,10.31,LAG_PERF,,Containers & Packaging,2.0
BAX,13.51,5.68,2.73,21.91,AVG_PERF,,Healthcare,3.0
BBY,7.95,3.2,2.53,13.67,LAG_PERF,,Retailing,2.0
BDX,13.72,6.72,3.23,23.67,AVG_PERF,,Healthcare,3.0
BEN,9.07,8.16,2.45,19.67,LAG_PERF,,Diversified Financials,2.0
BG,13.26,5.27,14.39,32.92,OUT_PERF,78.24,Food Products,3.0
BIIB,13.01,7.05,0.45,20.51,AVG_PERF,,Pharmaceuticals,3.0
BK,10.55,8.67,0.7,19.93,LAG_PERF,,Diversified Financials,2.0
BKNG,9.99,5.25,1.11,16.35,LAG_PERF,,Software & Services,2.0
BKR,6.39,5.44,7.3,19.12,LAG_PERF,,Energy Services,2.0
BLDR,6.96,6.14,13.64,26.73,AVG_PERF,,Building Products,1.0
BLK,7.36,9.99,0.9,18.25,UNDER_PERF,21.43,Diversified Financials,2.0
BMY,14.59,6.14,0.46,21.2,AVG_PERF,,Pharmaceuticals,2.0
BR,7.38,3.78,4.32,15.48,LAG_PERF,,Software & Services,0.0
BRO,9.91,10.89,0.31,21.11,AVG_PERF,,Insurance,1.0
BSX,11.86,7.8,2.4,22.06,AVG_PERF,,Healthcare,2.0
BWA,4.35,3.88,1.71,9.93,LAG_PERF,,Auto Components,1.0
BX,10.02,11.91,1.66,23.59,AVG_PERF,,Diversified Financials,1.0
BXP,3.93,5.26,2.8,11.99,LAG_PERF,,Real Estate,0.0
C,12.57,7.78,1.54,21.89,AVG_PERF,,Banks,3.0
CAG,13.63,3.84,9.33,26.81,AVG_PERF,,Food Products,2.0
CAH,6.91,3.65,0.76,11.32,LAG_PERF,,Healthcare,2.0
CARR,4.67,3.53,7.98,16.17,LAG_PERF,,Building Products,2.0
CAT,11.77,6.39,10.17,28.33,AVG_PERF,,Machinery,2.0
CB,12.04,8.39,1.98,22.4,AVG_PERF,,Insurance,2.0
CBOE,8.06,10.72,2.68,21.46,AVG_PERF,,Diversified Financials,2.0
CBRE,2.04,2.71,1.57,6.31,LAG_PERF,,Real Estate,1.0
CCI,2.9,3.62,5.46,11.98,LAG_PERF,,Real Estate,1.0
CCL,10.57,4.11,6.97,21.65,AVG_PERF,,Consumer Services,3.0
CDNS,5.19,3.84,2.4,11.43,LAG_PERF,,Software & Services,1.0
CDW,3.38,2.28,1.82,7.49,LAG_PERF,,Technology Hardware,1.0
CE,6.49,3.73,14.75,24.96,AVG_PERF,,Chemicals,1.0
CEG,13.4,3.49,11.6,28.49,AVG_PERF,,Utilities,1.0
CF,8.85,3.42,15.89,28.16,AVG_PERF,,Chemicals,1.0
CFG,9.62,11.65,1.69,22.97,AVG_PERF,,Banks,2.0
CHD,9.59,6.05,7.02,22.65,AVG_PERF,,Household Products,2.0
CHRW,8.84,4.06,4.47,17.36,LAG_PERF,,Transportation,1.0
CHTR,11.47,6.86,5.36,23.69,AVG_PERF,,Telecommunication Services,2.0
CI,8.85,4.01,0.13,12.99,LAG_PERF,,Healthcare,2.0
CINF,9.99,11.73,1.39,23.11,AVG_PERF,,Insurance,1.0
CL,10.11,5.01,9.01,24.12,AVG_PERF,,Household Products,2.0
CLX,8.5,3.59,7.94,20.03,AVG_PERF,,Household Products,2.0
CMCSA,9.88,8.25,4.14,22.27,AVG_PERF,,Telecommunication Services,2.0
CME,6.13,8.69,2.26,17.08,LAG_PERF,,Diversified Financials,1.0
CMG,9.54,3.47,7.11,20.12,AVG_PERF,,Consumer Services,2.0
CMI,8.15,4.76,9.9,22.82,AVG_PERF,,Machinery,3.0
CMS,6.85,4.25,9.15,20.26,AVG_PERF,,Utilities,2.0
CNC,11.43,3.78,0.07,15.29,LAG_PERF,,Healthcare,2.0
CNP,9.67,3.77,11.34,24.78,AVG_PERF,,Utilities,2.0
COF,11.93,9.07,0.31,21.31,AVG_PERF,,Diversified Financials,3.0
COO,7.55,4.24,2.91,14.69,LAG_PERF,,Healthcare,2.0
COP,8.74,7.2,17.2,33.14,LEAD_PERF,,Oil & Gas Producers,2.0
COR,5.61,4.19,1.17,10.97,LAG_PERF,,Healthcare,2.0
COST,15.5,4.98,8.65,29.12,AVG_PERF,,Food Retailers,2.0
CPAY,12.24,5.48,4.74,22.46,AVG_PERF,,Software & Services,2.0
CPB,10.47,3.77,12.07,26.3,AVG_PERF,,Food Products,2.0
CPRT,8.96,5.02,1.71,15.68,LAG_PERF,,Commercial Services,1.0
CPT,3.81,6.87,3.5,14.18,LAG_PERF,,Real Estate,2.0
CRL,10.75,5.67,1.73,18.14,LAG_PERF,,Pharmaceuticals,1.0
CRM,8.16,4.97,2.05,15.18,LAG_PERF,,Software & Services,2.0
CRWD,10.4,6.38,0.97,17.75,LAG_PERF,,Software & Services,2.0
CSCO,7.64,4.87,0.4,12.91,LAG_PERF,,Technology Hardware,2.0
CSGP,9.56,6.47,5.65,21.68,AVG_PERF,,Software & Services,1.0
CSX,10.07,3.89,7.12,21.07,AVG_PERF,,Transportation,2.0
CTAS,8.24,5.61,3.19,17.03,LAG_PERF,,Commercial Services,2.0
CTRA,7.63,5.81,19.31,32.75,LEAD_PERF,,Oil & Gas Producers,2.0
CTSH,8.01,4.43,2.75,15.19,LAG_PERF,,Software & Services,2.0
CTVA,14.31,4.25,15.2,33.76,LEAD_PERF,,Chemicals,3.0
CVS,13.22,4.99,0.07,18.27,LAG_PERF,,Healthcare,2.0
CVX,9.37,9.36,16.58,35.31,LEAD_PERF,,Oil & Gas Producers,3.0
CZR,9.79,8.29,1.79,19.88,LAG_PERF,,Consumer Services,2.0
D,8.33,5.28,14.97,28.58,AVG_PERF,,Utilities,2.0
DAL,13.88,5.12,11.38,30.38,LEAD_PERF,,Transportation,2.0
DAY,7.98,4.79,4.5,17.28,LAG_PERF,,Software & Services,0.0
DD,6.93,3.73,16.2,26.87,AVG_PERF,,Chemicals,3.0
DE,9.18,4.7,2.45,16.33,LAG_PERF,,Machinery,2.0
DECK,7.94,3.09,3.2,14.23,LAG_PERF,,Textiles & Apparel,0.0
DELL,7.29,7.99,0.63,15.9,LAG_PERF,,Technology Hardware,3.0
DFS,12.4,10.09,0.32,22.81,AVG_PERF,,Diversified Financials,2.0
DG,13.07,4.27,3.86,21.2,AVG_PERF,,Retailing,3.0
DGX,13.06,7.12,0.31,20.49,AVG_PERF,,Healthcare,3.0
DHI,6.44,5.21,9.99,21.64,AVG_PERF,,Homebuilders,2.0
DHR,3.32,4.21,0.99,8.52,LAG_PERF,,Pharmaceuticals,2.0
DIS,9.09,5.96,0.09,15.14,LAG_PERF,,Media,2.0
DLR,2.77,5.73,4.13,12.63,LAG_PERF,,Real Estate,0.0
DLTR,13.01,2.55,3.23,18.8,LAG_PERF,,Retailing,2.0
DOV,12.55,4.43,7.47,24.45,AVG_PERF,,Machinery,0.0
DOW,3.37,4.33,11.92,19.62,LAG_PERF,,Chemicals,3.0
DPZ,11.85,5.71,9.93,27.49,AVG_PERF,,Consumer Services,2.0
DRI,12.77,3.73,10.96,27.46,AVG_PERF,,Consumer Services,2.0
DTE,11.84,5.58,13.86,31.28,LEAD_PERF,,Utilities,2.0
DUK,10.03,2.91,13.85,26.79,AVG_PERF,,Utilities,2.0
DVA,14.44,7.27,0.07,21.78,AVG_PERF,,Healthcare,2.0
DVN,8.04,6.12,17.4,31.55,LEAD_PERF,,Oil & Gas Producers,2.0
DXCM,10.07,8.19,3.45,21.72,AVG_PERF,,Healthcare,1.0
EA,8.43,4.22,0.31,12.96,LAG_PERF,,Software & Services,1.0
EBAY,8.05,4.44,2.71,15.2,LAG_PERF,,Software & Services,2.0
ECL,7.25,5.56,11.06,23.86,AVG_PERF,,Chemicals,2.0
ED,8.65,4.52,7.94,21.11,AVG_PERF,,Utilities,2.0
EFX,16.75,5.23,0.23,22.21,AVG_PERF,,Commercial Services,2.0
EG,6.67,9.91,1.39,17.96,UNDER_PERF,20.35,Insurance,1.0
EIX,12.11,3.48,8.38,23.97,AVG_PERF,,Utilities,3.0
EL,10.52,7.9,5.59,24.01,AVG_PERF,,Household Products,2.0
ELV,5.33,4.58,0.09,9.99,LAG_PERF,,Healthcare,2.0
EMN,6.57,4.89,13.28,24.74,AVG_PERF,,Chemicals,2.0
EMR,12.6,4.13,6.05,22.79,AVG_PERF,,Machinery,1.0
ENPH,8.81,6.25,4.84,19.9,LAG_PERF,,Electrical Equipment,1.0
EOG,6.51,6.53,21.34,34.38,LEAD_PERF,,Oil & Gas Producers,2.0
EPAM,16.47,6.06,4.84,27.36,AVG_PERF,,Software & Services,0.0
EQIX,4.76,4.82,3.56,13.14,LAG_PERF,,Real Estate,1.0
EQR,2.95,5.27,3.2,11.43,LAG_PERF,,Real Estate,1.0
EQT,9.29,5.79,16.61,31.69,LEAD_PERF,,Oil & Gas Producers,1.0
ERIE,11.52,13.56,2.82,27.91,AVG_PERF,,Insurance,1.0
ES,8.17,5.82,4.1,18.08,LAG_PERF,,Utilities,2.0
ESS,2.93,5.31,3.38,11.61,LAG_PERF,,Real Estate,1.0
ETN,9.26,4.03,7.76,21.05,AVG_PERF,,Electrical Equipment,2.0
ETR,7.48,4.1,13.29,24.88,AVG_PERF,,Utilities,2.0
EVRG,10.64,4.88,13.73,29.24,AVG_PERF,,Utilities,1.0
EW,13.41,5.33,2.96,21.7,AVG_PERF,,Healthcare,2.0
EXC,8.1,4.33,6.36,18.79,LAG_PERF,,Utilities,3.0
EXPD,9.04,4.29,5.07,18.4,LAG_PERF,,Transportation,2.0
EXPE,11.59,7.8,2.73,22.12,AVG_PERF,,Software & Services,2.0
EXR,3.85,6.21,4.1,14.15,LAG_PERF,,Real Estate,1.0
F,7.04,7.98,7.36,22.39,AVG_PERF,,Automobiles,3.0
FANG,9.91,7.41,19.99,37.31,LEAD_PERF,,Oil & Gas Producers,2.0
FAST,8.36,7.17,9.51,25.04,AVG_PERF,,Traders & Distributors,2.0
FCX,6.8,4.22,17.09,28.1,AVG_PERF,,Diversified Metals,4.0
FDS,8.78,3.15,4.57,16.5,LAG_PERF,,Software & Services,1.0
FDX,8.5,4.79,5.73,19.02,LAG_PERF,,Transportation,2.0
FE,10.46,4.46,13.19,28.12,AVG_PERF,,Utilities,3.0
FFIV,7.71,4.26,4.33,16.3,LAG_PERF,,Software & Services,1.0
FI,9.01,4.36,4.09,17.47,LAG_PERF,,Software & Services,2.0
FICO,9.11,6.1,4.88,20.09,AVG_PERF,,Software & Services,2.0
FIS,8.18,2.5,3.68,14.36,LAG_PERF,,Software & Services,1.0
FITB,8.86,7.23,0.78,16.87,LAG_PERF,,Banks,2.0
FMC,8.51,4.74,11.83,25.08,AVG_PERF,,Chemicals,2.0
FOXA,6.72,5.2,0.3,12.22,LAG_PERF,,Media,3.0
FRT,5.68,3.7,3.06,12.44,LAG_PERF,,Real Estate,0.0
FSLR,6.08,5.19,6.04,17.31,LAG_PERF,,Semiconductors,2.0
FTNT,8.54,3.57,3.69,15.8,LAG_PERF,,Software & Services,1.0
FTV,10.66,2.93,14.31,27.9,AVG_PERF,,Industrial Conglomerates,1.0
GD,18.86,5.88,9.34,34.09,LEAD_PERF,,Aerospace & Defense,3.0
GDDY,9.26,5.33,4.4,18.99,LAG_PERF,,Software & Services,2.0
GE,12.9,6.32,13.44,32.65,LEAD_PERF,,Industrial Conglomerates,2.0
GEHC,14.21,4.51,2.74,21.46,AVG_PERF,,Healthcare,2.0
GEN,7.85,3.96,2.97,14.78,LAG_PERF,,Software & Services,2.0
GILD,14.35,6.71,0.63,21.68,AVG_PERF,,Pharmaceuticals,2.0
GIS,13.19,3.19,9.46,25.84,AVG_PERF,,Food Products,2.0
GL,9.72,9.31,1.25,20.28,AVG_PERF,,Insurance,2.0
GLW,4.47,4.64,8.38,17.5,LAG_PERF,,Technology Hardware,2.0
GM,14.07,4.75,8.2,27.02,AVG_PERF,,Automobiles,4.0
GNRC,9.34,5.37,7.22,21.93,AVG_PERF,,Electrical Equipment,2.0
GOOGL,9.95,11.51,1.91,23.37,AVG_PERF,,Software & Services,4.0
GPC,5.33,2.9,4.59,12.83,LAG_PERF,,Retailing,1.0
GPN,10.55,4.74,4.22,19.51,LAG_PERF,,Software & Services,1.0
GRMN,11.65,4.39,4.95,20.99,AVG_PERF,,Consumer Durables,1.0
GS,13.47,11.01,0.75,25.22,AVG_PERF,,Diversified Financials,2.0
GWW,5.61,5.92,4.46,15.99,LAG_PERF,,Traders & Distributors,2.0
HAL,6.79,6.84,10.21,23.84,AVG_PERF,,Energy Services,2.0
HAS,3.38,2.7,1.2,7.28,LAG_PERF,,Consumer Durables,2.0
HBAN,7.68,7.25,1.45,16.38,LAG_PERF,,Banks,2.0
HCA,18.45,4.81,4.5,27.76,AVG_PERF,,Healthcare,3.0
HD,6.53,2.65,3.43,12.61,LAG_PERF,,Retailing,2.0
HES,6.09,6.5,19.37,31.97,LEAD_PERF,,Oil & Gas Producers,2.0
HIG,9.25,6.18,1.35,16.78,LAG_PERF,,Insurance,1.0
HII,16.7,5.96,11.55,34.21,LEAD_PERF,,Aerospace & Defense,1.0
HLT,7.42,3.2,6.81,17.44,LAG_PERF,,Consumer Services,2.0
HOLX,12.27,5.32,4.26,21.85,AVG_PERF,,Healthcare,2.0
HON,9.71,7.16,10.26,27.12,AVG_PERF,,Industrial Conglomerates,3.0
HPE,6.45,4.15,0.87,11.48,LAG_PERF,,Technology Hardware,2.0
HPQ,5.88,4.48,0.23,10.59,LAG_PERF,,Technology Hardware,2.0
HRL,10.12,4.88,11.11,26.11,AVG_PERF,,Food Products,3.0
HSIC,5.95,5.78,2.77,14.5,LAG_PERF,,Healthcare,3.0
HST,4.7,4.95,3.2,12.86,LAG_PERF,,Real Estate,1.0
HSY,10.7,4.09,10.19,24.98,AVG_PERF,,Food Products,3.0
HUBB,6.07,3.17,8.7,17.94,LAG_PERF,,Electrical Equipment,0.0
HUM,14.67,4.19,0.04,18.9,LAG_PERF,,Healthcare,2.0
HWM,12.56,3.37,7.69,23.62,AVG_PERF,,Aerospace & Defense,2.0
IBM,6.68,5.01,1.58,13.27,LAG_PERF,,Software & Services,2.0
ICE,9.07,7.27,1.89,18.24,LAG_PERF,,Diversified Financials,1.0
IDXX,7.69,6.15,2.48,16.32,LAG_PERF,,Healthcare,1.0
IEX,11.75,5.11,13.79,30.65,LEAD_PERF,,Machinery,1.0
IFF,5.93,4.9,12.34,23.17,AVG_PERF,,Chemicals,3.0
INCY,16.77,5.67,1.27,23.71,AVG_PERF,,Pharmaceuticals,1.0
INTC,6.0,4.08,5.49,15.57,LAG_PERF,,Semiconductors,2.0
INTU,8.7,4.2,3.92,16.82,LAG_PERF,,Software & Services,1.0
INVH,4.97,4.59,6.45,16.01,LAG_PERF,,Real Estate,2.0
IP,5.61,2.69,15.13,23.43,AVG_PERF,,Paper & Forestry,3.0
IPG,4.87,3.79,0.03,8.69,LAG_PERF,,Media,0.0
IQV,10.59,4.56,0.91,16.07,LAG_PERF,,Pharmaceuticals,2.0
IR,6.36,2.1,2.15,10.6,LAG_PERF,,Machinery,1.0
IRM,3.45,4.95,5.85,14.25,LAG_PERF,,Real Estate,1.0
ISRG,9.81,5.54,2.68,18.03,LAG_PERF,,Healthcare,1.0
